Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
47,Ali Alipour,FW,ir IR Iran,30,1995,0.4,0,0,0,1,1,0,0,1,1,FW,IR Iran,Group Stage Exit
49,Thiago Almada,MF,ar Argentina,25,2001,2.7,1,0,0,2,2,2,1,0,4,MF,Argentina,Reached Knockouts
50,Miguel Almirón,MFFW,py Paraguay,32,1994,3.1,1,1,0,2,7,0,4,3,7,MFFW,Paraguay,Reached Knockouts
51,Júnior Alonso,DF,py Paraguay,33,1993,4.3,1,0,0,3,3,1,2,4,9,DF,Paraguay,Reached Knockouts
52,Bar?? Alper Y?lmaz,MFFW,tr Türkiye,26,2000,2.0,0,0,0,4,1,2,15,0,0,MFFW,Türkiye,Group Stage Exit
53,Roberto Alvarado,FWMF,mx Mexico,27,1998,4.8,0,0,0,3,5,1,36,2,3,FWMF,Mexico,Reached Knockouts
54,Edson Álvarez,MFDF,mx Mexico,28,1997,2.7,1,0,0,5,2,0,1,3,6,MFDF,Mexico,Reached Knockouts
55,Julián Álvarez,FW,ar Argentina,26,2000,6.7,0,0,0,11,4,2,2,3,4,FW,Argentina,Reached Knockouts
56,Ayoube Amaimouni,MF,ma Morocco,21,2004,0.2,0,0,0,1,0,0,1,0,1,MF,Morocco,Reached Knockouts
57,Zeki Amdouni,FWMF,ch Switzerland,25,2000,0.8,0,0,0,5,4,0,0,0,1,FWMF,Switzerland,Reached Knockouts
58,Michael Amir Murillo,DFMF,pa Panama,30,1996,3.0,0,0,0,1,7,1,8,1,3,DFMF,Panama,Group Stage Exit
59,Nadiem Amiri,MF,de Germany,29,1996,0.5,0,0,0,0,0,0,2,0,1,MF,Germany,Reached Knockouts
60,Amir Al Ammari,MF,iq Iraq,28,1997,2.7,2,0,0,3,0,0,8,2,1,MF,Iraq,Group Stage Exit
61,Azizbek Amonov,FW,uz Uzbekistan,28,1997,0.2,0,0,0,0,0,0,1,0,0,FW,Uzbekistan,Group Stage Exit
62,Mohamed Amoura,FWMF,dz Algeria,26,2000,0.3,0,0,0,1,0,0,0,0,0,FWMF,Algeria,Reached Knockouts
63,Sofyan Amrabat,MF,ma Morocco,29,1996,1.6,0,0,0,4,2,0,0,2,1,MF,Morocco,Reached Knockouts
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,1997,2.7,1,0,0,1,0,0,1,4,2,DF,Saudi Arabia,Group Stage Exit
65,Youssef Amyn,MF,iq Iraq,22,2003,0.3,0,0,0,0,0,0,0,0,0,MF,Iraq,Group Stage Exit
66,Elliot Anderson,MF,eng England,23,2002,7.0,1,0,0,9,13,0,8,8,18,MF,England,Reached Knockouts
67,Andrés Andrade Cedeño,DF,pa Panama,27,1998,3.0,1,0,0,4,0,0,8,3,3,DF,Panama,Group Stage Exit
68,Fredrik André Bjørkan,DF,no Norway,27,1998,0.5,0,0,0,0,0,0,0,2,1,DF,Norway,Reached Knockouts
69,Nilson Angulo,MF,ec Ecuador,22,2003,2.4,0,0,0,4,3,0,5,2,1,MF,Ecuador,Reached Knockouts
70,Waldemar Anton,DFMF,de Germany,29,1996,0.6,0,0,0,3,1,1,1,2,1,DFMF,Germany,Reached Knockouts
71,Jeremy Antonisse,FWMF,cw Curaçao,24,2002,0.8,0,0,0,0,0,0,8,0,1,FWMF,Curaçao,Group Stage Exit
72,Houssem Aouar,MF,dz Algeria,27,1998,1.9,0,0,0,1,2,0,0,0,1,MF,Algeria,Reached Knockouts
73,Oswin Appollis,MFFW,za South Africa,24,2001,2.8,0,0,0,1,2,0,8,1,3,MFFW,South Africa,Reached Knockouts
74,Yazan Al-Arab,DF,jo Jordan,30,1996,3.0,1,0,0,4,0,0,0,11,1,DF,Jordan,Group Stage Exit
75,Maxi Araújo,FWMF,uy Uruguay,26,2000,2.8,0,0,0,2,7,6,18,0,0,FWMF,Uruguay,Group Stage Exit
76,Tomás Araújo,DF,pt Portugal,24,2002,1.0,1,0,0,1,0,0,0,1,0,DF,Portugal,Reached Knockouts
77,Telmo Arcanjo,MF,cv Cabo Verde,24,2001,0.6,0,0,0,0,1,0,1,0,0,MF,Cabo Verde,Reached Knockouts
78,Álex Arce,FW,py Paraguay,30,1995,0.6,1,0,0,1,0,0,0,0,1,FW,Paraguay,Reached Knockouts
79,Carlens Arcus,MFDF,ht Haiti,29,1996,1.6,1,0,0,5,3,2,2,3,3,MFDF,Haiti,Group Stage Exit
81,Jhon Arias,MF,co Colombia,28,1997,4.2,1,0,0,5,2,0,5,2,9,MF,Colombia,Reached Knockouts
82,Santiago Arias,DF,co Colombia,34,1992,1.0,0,0,0,1,0,0,2,1,2,DF,Colombia,Reached Knockouts
83,Marko Arnautovi?,FW,at Austria,37,1989,1.6,1,0,0,3,1,5,0,0,0,FW,Austria,Reached Knockouts
85,Emam Ashour,MF,eg Egypt,28,1998,4.0,0,0,0,2,13,0,4,4,2,MF,Egypt,Reached Knockouts
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1996,2.8,0,0,0,1,0,0,0,7,2,DF,Uzbekistan,Group Stage Exit
88,Marwan Attia,MF,eg Egypt,27,1998,4.8,2,0,0,8,1,0,11,3,3,MF,Egypt,Reached Knockouts
89,Fredrik Aursnes,MFDF,no Norway,30,1995,3.4,0,0,0,5,3,0,5,1,8,MFDF,Norway,Reached Knockouts
90,Gabriel Ávalos,FW,py Paraguay,35,1990,1.6,0,0,0,1,2,0,0,0,2,FW,Paraguay,Reached Knockouts
91,Yasin Ayari,MF,se Sweden,22,2003,3.8,1,0,0,4,8,0,19,3,4,MF,Sweden,Reached Knockouts
92,O?uz Ayd?n,DF,tr Türkiye,25,2000,1.0,0,0,0,0,2,0,3,0,6,DF,Türkiye,Group Stage Exit
93,Jordan Ayew,FW,gh Ghana,34,1991,3.3,0,0,0,7,7,1,10,1,3,FW,Ghana,Reached Knockouts
95,Neil El Aynaoui,MF,ma Morocco,24,2001,6.2,0,0,0,15,7,0,0,8,9,MF,Morocco,Reached Knockouts
96,Ali Azaizeh,MF,jo Jordan,22,2004,0.6,0,0,0,1,1,0,1,0,3,MF,Jordan,Group Stage Exit
97,Juninho Bacuna,MF,cw Curaçao,28,1997,2.8,2,0,0,6,3,0,5,5,4,MF,Curaçao,Group Stage Exit
98,Leandro Bacuna,MF,cw Curaçao,34,1991,3.0,1,0,0,3,3,0,4,0,3,MF,Curaçao,Group Stage Exit
99,Álex Baena,MFFW,es Spain,24,2001,5.3,1,0,0,13,7,2,41,2,5,MFFW,Spain,Reached Knockouts
100,Esmir Bajraktarevic,MF,ba BosniaHerz,21,2005,2.6,0,0,0,1,2,0,8,3,0,MF,BosniaHerz,Reached Knockouts
101,Cédric Bakambu,FW,cd Congo DR,35,1991,2.1,0,0,0,2,1,4,1,0,0,FW,Congo DR,Reached Knockouts
103,Folarin Balogun,FW,us USA,24,2001,3.5,1,1,0,3,8,3,0,1,0,FW,USA,Reached Knockouts
104,Simon Banza,FWMF,cd Congo DR,29,1996,0.4,0,0,0,1,0,0,0,0,1,FWMF,Congo DR,Reached Knockouts
105,Yoel Bárcenas,MF,pa Panama,32,1993,2.8,1,0,0,3,3,0,7,2,0,MF,Panama,Group Stage Exit
106,Valentín Barco,DFMF,ar Argentina,21,2004,0.2,0,0,0,0,1,0,0,0,0,DFMF,Argentina,Reached Knockouts
107,Bradley Barcola,MF,fr France,23,2002,4.3,1,0,0,5,1,1,3,1,4,MF,France,Reached Knockouts
108,Abdülkerim Bardakc?,DF,tr Türkiye,31,1994,2.9,0,0,0,1,3,0,7,2,5,DF,Türkiye,Group Stage Exit
109,Ivan Bai?,MF,ba BosniaHerz,24,2002,2.0,0,0,0,2,3,0,12,3,1,MF,BosniaHerz,Reached Knockouts
111,Martin Baturina,MFFW,hr Croatia,23,2003,3.6,0,0,0,1,14,0,8,1,2,MFFW,Croatia,Reached Knockouts
112,Ibrahim Bayesh,MFFW,iq Iraq,26,2000,2.6,0,0,0,3,5,0,4,1,4,MFFW,Iraq,Group Stage Exit
113,Samed Badar,FW,ba BosniaHerz,22,2004,0.3,0,0,0,1,1,0,0,0,0,FW,BosniaHerz,Reached Knockouts
114,Riechedly Bazoer,DF,cw Curaçao,29,1996,1.0,0,0,0,2,0,0,0,1,1,DF,Curaçao,Group Stage Exit
116,Aziz Behich,MF,au Australia,35,1990,2.4,0,0,0,1,4,0,6,1,4,MF,Australia,Reached Knockouts
117,Maximilian Beier,FWMF,de Germany,23,2002,0.3,0,0,0,1,1,0,0,0,0,FWMF,Germany,Reached Knockouts
119,Zineddine Belaïd,DF,dz Algeria,27,1999,0.3,0,0,0,0,0,1,0,0,0,DF,Algeria,Reached Knockouts
120,Rafik Belghali,DF,dz Algeria,24,2002,3.7,0,0,0,4,2,0,4,1,3,DF,Algeria,Reached Knockouts
121,Joe Bell,MF,nz New Zealand,27,1999,2.7,0,0,0,3,0,0,0,4,2,MF,New Zealand,Group Stage Exit
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,2.9,1,0,0,4,5,0,10,3,2,MF,Haiti,Group Stage Exit
123,Jude Bellingham,MF,eng England,22,2003,6.8,1,0,0,9,17,1,8,3,10,MF,England,Reached Knockouts
124,Mortadha Ben Ouanes,DFMF,tn Tunisia,31,1994,0.3,0,0,0,0,1,0,0,0,0,DFMF,Tunisia,Group Stage Exit
125,Anis Ben Slimane,MFFW,tn Tunisia,25,2001,2.7,0,0,0,0,0,2,6,2,2,MFFW,Tunisia,Group Stage Exit
127,Nadhir Benbouali,FW,dz Algeria,26,2000,0.5,0,0,0,0,0,0,0,0,1,FW,Algeria,Reached Knockouts
128,Gilson Benchimol,FW,cv Cabo Verde,24,2001,0.9,0,0,0,0,1,0,0,0,0,FW,Cabo Verde,Reached Knockouts
129,Ramy Bensebaini,DF,dz Algeria,31,1995,4.0,0,0,0,1,5,0,0,7,6,DF,Algeria,Reached Knockouts
130,Nabil Bentaleb,MF,dz Algeria,31,1994,3.2,0,0,0,2,3,0,3,3,4,MF,Algeria,Reached Knockouts
131,Rodrigo Bentancur,MF,uy Uruguay,28,1997,3.0,1,0,0,7,5,0,4,7,5,MF,Uruguay,Group Stage Exit
132,Patrick Berg,MF,no Norway,28,1997,4.9,1,0,0,4,2,0,11,2,7,MF,Norway,Reached Knockouts
133,Sander Berge,MF,no Norway,28,1998,5.3,0,0,0,6,2,0,1,9,4,MF,Norway,Reached Knockouts
134,Lucas Bergvall,MF,se Sweden,20,2006,2.0,1,0,0,7,4,0,3,2,2,MF,Sweden,Reached Knockouts
135,Sebastian Berhalter,MF,us USA,25,2001,2.1,1,0,0,5,6,0,11,3,0,MF,USA,Reached Knockouts
136,Alexander Bernhardsson,MF,se Sweden,27,1998,2.4,0,0,0,2,4,0,3,2,2,MF,Sweden,Reached Knockouts
137,Tyler Bindon,DF,nz New Zealand,21,2005,1.1,0,0,0,2,1,0,2,1,2,DF,New Zealand,Group Stage Exit
138,César Blackman,MFDF,pa Panama,28,1998,2.0,1,0,0,2,2,1,0,1,0,MFDF,Panama,Group Stage Exit
139,Damián Bobadilla,MF,py Paraguay,24,2001,2.1,0,0,0,1,1,0,1,5,3,MF,Paraguay,Reached Knockouts
140,Oscar Bobb,FW,no Norway,22,2003,2.5,0,0,0,1,4,0,2,3,3,FW,Norway,Reached Knockouts
141,Moïse Bombito,DF,ca Canada,26,2000,2.1,0,0,0,2,0,0,0,1,0,DF,Canada,Reached Knockouts
142,Theo Bongonda,FWMF,cd Congo DR,30,1995,0.4,0,0,0,0,1,0,2,1,0,FWMF,Congo DR,Reached Knockouts
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,2.6,0,0,0,1,3,1,1,1,2,FW,Côte d'Ivoire,Reached Knockouts
144,Jordy Bos,MFDF,au Australia,23,2002,3.4,1,0,0,4,4,0,8,3,3,MFDF,Australia,Reached Knockouts
145,Ayyoub Bouaddi,MF,ma Morocco,18,2007,4.2,0,0,0,3,6,0,0,1,3,MF,Morocco,Reached Knockouts
146,Hicham Boudaoui,MF,dz Algeria,26,1999,1.4,1,0,0,4,1,0,1,2,1,MF,Algeria,Reached Knockouts
147,Karim Boudiaf,MF,qa Qatar,35,1990,1.1,0,0,0,0,2,0,0,0,0,MF,Qatar,Group Stage Exit
148,Adil Boulbina,FW,dz Algeria,23,2003,0.2,0,0,0,0,0,1,0,0,0,FW,Algeria,Reached Knockouts
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1999,1.0,0,0,0,1,1,0,0,1,0,DF,Saudi Arabia,Group Stage Exit
151,Michael Boxall,DF,nz New Zealand,37,1988,2.3,0,0,0,2,2,0,1,2,1,DF,New Zealand,Group Stage Exit
152,Sultan Al-Brake,DF,qa Qatar,30,1996,1.6,0,0,0,2,0,0,5,2,1,DF,Qatar,Group Stage Exit
153,Joshua Brenet,DF,cw Curaçao,32,1994,2.0,0,0,0,0,1,1,0,1,4,DF,Curaçao,Group Stage Exit
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,0,0,0,4,3,2,1,0,1,FW,Netherlands,Reached Knockouts
155,Dylan Bronn,DF,tn Tunisia,30,1995,0.5,0,0,0,1,0,0,0,1,0,DF,Tunisia,Group Stage Exit
156,Nathaniel Brown,DF,de Germany,22,2003,3.1,0,0,0,4,1,0,17,2,6,DF,Germany,Reached Knockouts
157,Tajon Buchanan,MF,ca Canada,27,1999,4.2,0,0,0,5,8,2,16,1,5,MF,Canada,Reached Knockouts
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,0,0,0,6,4,0,0,0,1,FW,Croatia,Reached Knockouts
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,2.6,1,0,0,2,3,0,0,1,0,FW,Saudi Arabia,Group Stage Exit
160,Cameron Burgess,DF,au Australia,30,1995,1.5,0,0,0,0,0,0,0,1,1,DF,Australia,Reached Knockouts
161,Dan Burn,DF,eng England,34,1992,0.4,0,0,0,1,0,0,0,0,0,DF,England,Reached Knockouts
162,Denis Burni?,MF,ba BosniaHerz,28,1998,0.2,0,0,0,0,0,0,0,0,0,MF,BosniaHerz,Reached Knockouts
163,Gustavo Caballero,FWMF,py Paraguay,24,2001,1.1,0,0,0,2,2,1,0,0,2,FWMF,Paraguay,Reached Knockouts
164,Jovane Cabral,FW,cv Cabo Verde,28,1998,1.5,0,0,0,1,2,0,1,1,3,FW,Cabo Verde,Reached Knockouts
165,Liberato Cacace,DF,nz New Zealand,25,2000,2.4,0,0,0,1,5,0,8,3,2,DF,New Zealand,Group Stage Exit
166,Juan Cáceres,DF,py Paraguay,26,2000,4.8,1,0,0,9,6,0,10,5,11,DF,Paraguay,Reached Knockouts
167,Sebastián Cáceres,DF,uy Uruguay,26,1999,3.0,0,0,0,2,2,0,1,2,1,DF,Uruguay,Group Stage Exit
168,Jordy Caicedo,FW,ec Ecuador,28,1997,0.2,0,0,0,2,0,0,0,0,0,FW,Ecuador,Reached Knockouts
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4.0,1,0,0,5,4,0,17,4,6,MF,Ecuador,Reached Knockouts
171,Hakan Çalhano?lu,MF,tr Türkiye,32,1994,2.0,0,0,0,2,1,0,10,1,3,MF,Türkiye,Group Stage Exit
172,Lamine Camara,MF,sn Senegal,22,2004,2.8,1,0,0,5,3,0,7,2,1,MF,Senegal,Reached Knockouts
173,Jaminton Campaz,FWMF,co Colombia,26,2000,0.8,0,0,0,2,3,2,2,0,1,FWMF,Colombia,Reached Knockouts
175,José Canale,DF,py Paraguay,29,1996,1.8,0,0,0,1,2,0,1,1,6,DF,Paraguay,Reached Knockouts
176,João Cancelo,DF,pt Portugal,32,1994,3.5,0,0,0,6,2,1,17,5,4,DF,Portugal,Reached Knockouts
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,0,1,0,7,5,1,8,2,3,FW,Uruguay,Group Stage Exit
178,Casemiro,MF,br Brazil,34,1992,4.2,2,0,0,6,6,0,5,6,5,MF,Brazil,Reached Knockouts
179,Josué Casimir,MF,ht Haiti,24,2001,2.0,1,0,0,4,4,0,3,0,0,MF,Haiti,Group Stage Exit
180,Timothy Castagne,DF,be Belgium,30,1995,5.3,1,0,0,7,2,0,20,8,7,DF,Belgium,Reached Knockouts
181,Kevin Castaño,MF,co Colombia,25,2000,0.2,0,0,0,0,0,0,0,0,0,MF,Colombia,Reached Knockouts
182,Jens Castrop,MF,kr Korea Republic,22,2003,0.5,0,0,0,3,0,0,3,0,0,MF,Korea Republic,Group Stage Exit
183,Zeki Çelik,DF,tr Türkiye,29,1997,1.8,0,0,0,1,0,0,1,1,3,DF,Türkiye,Group Stage Exit
184,Luká ?erv,MF,cz Czechia,25,2001,1.8,0,0,0,3,3,0,0,0,3,MF,Czechia,Group Stage Exit
185,Fares Chaïbi,MF,dz Algeria,23,2002,4.0,1,0,0,3,2,1,6,3,5,MF,Algeria,Reached Knockouts
187,t?pán Chaloupek,DF,cz Czechia,23,2003,1.0,0,0,0,1,0,0,0,2,0,DF,Czechia,Group Stage Exit
189,Firas Chaouat,FW,tn Tunisia,30,1996,0.5,0,0,0,1,2,3,0,0,0,FW,Tunisia,Group Stage Exit
190,Luis Chávez,MF,mx Mexico,30,1996,0.3,0,0,0,1,0,0,1,0,1,MF,Mexico,Reached Knockouts
191,Mateo Chávez,DF,mx Mexico,22,2004,0.9,0,0,0,1,1,0,1,0,1,DF,Mexico,Reached Knockouts
192,Samir Chergui,DF,dz Algeria,27,1999,0.2,0,0,0,0,0,0,0,0,0,DF,Algeria,Reached Knockouts
193,Rayan Cherki,MF,fr France,22,2003,1.4,0,0,0,2,2,0,1,1,1,MF,France,Reached Knockouts
194,Mathieu Choinière,MF,ca Canada,27,1999,0.6,0,0,0,1,1,0,4,2,1,MF,Canada,Reached Knockouts
195,Tahith Chong,MF,cw Curaçao,26,1999,2.7,0,0,0,3,13,0,1,1,0,MF,Curaçao,Group Stage Exit
196,Tomá Chorý,FW,cz Czechia,31,1995,0.3,0,0,0,2,1,0,0,0,0,FW,Czechia,Group Stage Exit
197,Ryan Christie,MF,sct Scotland,31,1995,1.1,1,0,0,2,1,0,1,2,3,MF,Scotland,Group Stage Exit
198,Carney Chukwuemeka,MF,at Austria,22,2003,0.9,0,0,0,2,2,0,0,0,0,MF,Austria,Reached Knockouts
199,Mojmír Chytil,FW,cz Czechia,27,1999,0.1,0,0,0,1,0,0,0,0,0,FW,Czechia,Group Stage Exit
200,Brian Cipenga,MFFW,cd Congo DR,28,1998,1.6,0,0,0,2,1,1,9,0,2,MFFW,Congo DR,Reached Knockouts
201,Alessandro Circati,DF,au Australia,22,2003,4.3,1,0,0,5,4,0,2,2,7,DF,Australia,Reached Knockouts
202,Pathé Ciss,DF,sn Senegal,32,1994,2.0,0,0,0,1,0,0,0,0,0,DF,Senegal,Reached Knockouts
203,Livano Comenencia,MF,cw Curaçao,22,2004,2.6,1,0,0,4,1,0,1,11,1,MF,Curaçao,Group Stage Exit
204,Eray Cömert,DF,ch Switzerland,28,1998,0.3,0,0,0,0,0,0,0,0,0,DF,Switzerland,Reached Knockouts
205,Francisco Conceição,MF,pt Portugal,23,2002,1.4,0,0,0,1,2,1,3,0,2,MF,Portugal,Reached Knockouts
206,Jhon Córdoba,FW,co Colombia,33,1993,1.1,0,0,0,1,2,2,0,0,0,FW,Colombia,Reached Knockouts
207,José Córdoba,DF,pa Panama,25,2001,3.0,0,0,0,5,1,0,1,1,3,DF,Panama,Group Stage Exit
208,Derek Cornelius,DF,ca Canada,28,1997,3.5,1,0,0,4,3,0,1,2,3,DF,Canada,Reached Knockouts
210,Nuno da Costa,FW,cv Cabo Verde,35,1991,1.8,0,0,0,0,3,0,1,1,2,FW,Cabo Verde,Reached Knockouts
211,Samu Costa,MF,pt Portugal,25,2000,0.2,0,0,0,0,0,0,0,0,1,MF,Portugal,Reached Knockouts
212,Vladimír Coufal,MFDF,cz Czechia,33,1992,3.0,0,0,0,4,3,1,20,2,1,MFDF,Czechia,Group Stage Exit
216,Pau Cubarsí,DF,es Spain,19,2007,8.3,1,0,0,4,5,0,1,4,4,DF,Spain,Reached Knockouts
217,Andrés Cubas,MF,py Paraguay,30,1996,5.3,1,0,0,14,3,0,0,11,13,MF,Paraguay,Reached Knockouts
218,Cucho,FWMF,co Colombia,27,1999,0.6,0,0,0,0,1,0,1,0,0,FWMF,Colombia,Reached Knockouts
219,Marc Cucurella,DF,es Spain,27,1998,8.3,1,0,0,8,5,4,13,7,4,DF,Spain,Reached Knockouts
220,Matheus Cunha,FW,br Brazil,27,1999,3.2,0,0,0,1,3,1,4,3,3,FW,Brazil,Reached Knockouts
221,Findlay Curtis,MF,sct Scotland,19,2006,0.1,1,0,0,1,0,0,1,0,0,MF,Scotland,Group Stage Exit
223,Diogo Dalot,DFMF,pt Portugal,27,1999,0.7,0,0,0,0,1,0,1,0,2,DFMF,Portugal,Reached Knockouts
224,Danilo,DF,br Brazil,34,1991,4.5,2,0,0,7,1,1,10,7,2,DF,Brazil,Reached Knockouts
225,Kevin Danso,DF,at Austria,27,1998,2.7,0,0,0,1,2,0,1,0,1,DF,Austria,Reached Knockouts
226,Vladimír Darida,MF,cz Czechia,35,1990,0.6,0,0,0,0,1,0,0,1,0,MF,Czechia,Group Stage Exit
227,Jonathan David,FW,ca Canada,26,2000,4.7,1,0,0,5,5,0,3,3,1,FW,Canada,Reached Knockouts
228,Promise David,FW,ca Canada,24,2001,0.9,0,0,0,4,2,0,0,1,1,FW,Canada,Reached Knockouts
229,Alphonso Davies,DFFW,ca Canada,25,2000,0.2,0,0,0,0,0,0,0,0,0,DFFW,Canada,Reached Knockouts
231,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1998,2.3,1,0,0,7,2,0,1,4,4,MF,Saudi Arabia,Group Stage Exit
